Author,Title,Location,Author,,,,,,,,,,,
"Turchin, Peter",Ages of Discord: A Structural-Demographic Analysis of Human History,,Peter,Turchin,,,,,,,,,,
"Le Bon, Gustave",Psychology of Crowds,,Gustave,Le Bon,Bon,,,,,,,,,
"Murray, Scott",Interactive Data Visualization for the Web: An Introduction to Designing with D3,,Scott,Murray,,,,,,,,,,
"West, Geoffrey","Scale: The Universal Laws of Growth, Innovation, Sustainability, and the Pace of Life in Organisms, Cities, Economies, and Companies",,Geoffrey,West,,,,,,,,,,
"Knyrim, Rainer",Datenschutz-Grundverordnung: Das neue Datenschutzrecht in Österreich und der EU,,Rainer,Knyrim,,,,,,,,,,
"Ferguson, Niall","The Square and the Tower: Networks and Power, from the Freemasons to Facebook",,Niall,Ferguson,,,,,,,,,,
"Buffin de Chosal, Christope",The End of Democracy,,Christope,Buffin de Chosal,de,Chosal,,,,,,,,
"Lahlou, Saadi",Installation Theory: The Societal Construction and Regulation of Behaviour,,Saadi,Lahlou,,,,,,,,,,
"Seet, Benjamin",Sydney Brenner's 10-on-10: The Chronicles of Evolution,,Benjamin,Seet,,,,,,,,,,
"Munzner, Tamara","Visualization Analysis and Design: Principles, Techniques, and Practice",,Tamara,Munzner,,,,,,,,,,
"Doralt, Werner",KODEX Arbeitsrecht 2019 ,,Werner,Doralt,,,,,,,,,,
"Bianconi, Ginesta",Multilayer Networks: Structure and Function,,Ginesta,Bianconi,,,,,,,,,,
"Florida, Richard","The New Urban Crisis: How our Cities are increasing inequality, deepening segregation, and failing the middle class - and what we can do about it",,Richard,Florida,,,,,,,,,,
"Turchin, Peter",Secular Cycles,,Peter,Turchin,,,,,,,,,,
"Gelman, Andrew",Regression and Other Stories (Analytical Methods for Social Research),,Andrew,Gelman,,,,,,,,,,
"Zuboff, Shoshana",The Age of Surveillance Capitalism,,Shoshana,Zuboff,,,,,,,,,,
"Turchin, Peter",World History in Figures,,Peter,Turchin,,,,,,,,,,
"Miller, Ronald E.",Input-Output Analysis: Foundations and Extensions,,Ronald E.,Miller,,,,,,,,,,
"Mansour, Ahmad",Klartext zur Integration: Gegen falsche Toleranz und Panikmache,,Ahmad,Mansour,,,,,,,,,,
"Ghadban, Ralph",Arabische Clans: Die unterschätzte Gefahr,,Ralph,Ghadban,,,,,,,,,,
"Hull, John C.",Risk Management and Financial Institutions,,John C.,Hull,Hull,,,,,,,,,
"Verbeek, Marno",A Guide to Modern Econometrics,,Marno,Verbeek,,,,,,,,,,
"McNeil,, Alexander J., Rudiger Frey","Quantitative Risk Management: Concepts, Techniques and Tools (revised ed.)",,"Alexander J., Rudiger Frey","McNeil,","McNeil,",Rudiger,Frey,,,,,,,
"Hofmarcher, Maria M.",Das österreichische Gesundheitssystem,,Maria M.,Hofmarcher,Hofmarcher,,,,,,,,,
", ",Crosscutting Social Circles: Testing a Macrostructural Theory of Intergroup Relations,,,,,,,,,,,,,
"Bechhoefer, John",Control Theory for Physicists,,John,Bechhoefer,,,,,,,,,,
"Watzlawick,, Paul, Janet Beavin Bavelas, Don D. Jackson",Pragmatics of Human Cognition,,"Paul, Janet Beavin Bavelas, Don D. Jackson","Watzlawick,",Janet,Beavin,"Bavelas,",Don,D.,Jackson,,,,
"Watzlawick,, Paul, Janet Beavin Bavelas, Don D. Jackson",Pragmatics of Human Cognition,,"Paul, Janet Beavin Bavelas, Don D. Jackson","Watzlawick,",Janet,Beavin,"Bavelas,",Don,D.,Jackson,,,,
"Centola,, D.",How Behavior Spreads: The Science of Complex Contagions,,D.,"Centola,","Centola,",,,,,,,,,
"Rogenhofer,, K., F. Schlederer","Ändert sich nichts, ändert sich alles: Warum wir jetzt für unseren Planeten kämpfen müssen",,"K., F. Schlederer","Rogenhofer,",F.,Schlederer,,,,,,,,
"Peliti,, L., S. Pigolotti",Stochastic Thermodynamics: An introduction,,"L., S. Pigolotti","Peliti,",S.,Pigolotti,,,,,,,,
"Opper,, M. D. Saad",Advanced Mean Field Methods: Theory and Practice,,M. D. Saad,"Opper,",D.,Saad,(eds),,,,,,,
"Hamilton, William L.",Graph Representation Learning,,William L.,Hamilton,Hamilton,,,,,,,,,
"Strogatz, Steven H.","Nonlinear Dynamics and Chaos, With applications to Physics, Biology, Chemistry and Engineering",158a,Steven H.,Strogatz,Strogatz,,,,,,,,,
"Wood, Simon N.",Generalized Additive Models,E56,Simon N.,Wood,Wood,,,,,,,,,
"Nowotny, Helga",In AI we Trust,158a,Helga,Nowotny,,,,,,,,,,
"Nowotny, Helga",In AI we Trust,,Helga,Nowotny,,,,,,,,,,
"Saramäki, Jari",How to write a Scientific Paper,,Jari,Saramäki,,,,,,,,,,
"Jones, Colin",The Fall of Robespierre,156,Colin,Jones,,,,,,,,,,
"Huan, Kerson",Statistical Mechanics 2nd ed.,,Kerson,Huan,,,,,,,,,,
"Quaschnig, Volker, Cornelia Quaschnig",Energie Revolution JETZT!,E56,"Volker, Cornelia Quaschnig",Quaschnig,Cornelia,Quaschnig,,,,,,,,
"Teske, Sven",Achieving the Paris Climate Agreement Goals,E56,Sven,Teske,(Ed.),,,,,,,,,
"King, Carey W.",The Economic Superorganism,156,Carey W.,King,King,,,,,,,,,
"Quaschnig, Volker",Energie Revolution JETZT!,162a,Volker,Quaschnig,,,,,,,,,,
"Common, Michael, Sigrid Stagl",Ecological Economics,162a,"Michael, Sigrid Stagl",Common,&,Sigrid,Stagl,,,,,,,
"Smil, Vaclav",Energy in Nature and Society,162a,Vaclav,Smil,,,,,,,,,,
"Meadows, Donella H.",Thinking in Systems,162a,Donella H.,Meadows,Meadows,,,,,,,,,
"Lynch, Marc",The Arab Uprisings Explained,165,Marc,Lynch,,,,,,,,,,
"Fouquet, Roger","Heat, Power, and Light",161,Roger,Fouquet,,,,,,,,,,
"Munzner,, T.",Vizualization Analysis and Design,161,T.,"Munzner,",,,,,,,,,,
"Anne, Buscha",C-Grammatik,165,Buscha,Anne,,,,,,,,,,
"Ladyman,, J.",What is a Complex System?,,J.,"Ladyman,",,,,,,,,,,
"David J., Mackay",Sustainable Energy - without the hot air: Vol 2,E56,Mackay,David J.,J,,,,,,,,,
"Campedelli, Gian Maria",Machine Learning for Criminology and Crime Research,161,Gian Maria,Campedelli,,,,,,,,,,
"Troy, Vettese","Half-Earth Socialism: A plan to save the future from extinction, climate change and pandemics",156,Vettese,Troy,,,,,,,,,,
"Weinstein, Jeremy M.",Inside Rebellion: The Politics of Insurgent Violence,165,Jeremy M.,Weinstein,,,,,,,,,,
"Small, Mario Luis",Unanticipated Gains - Origins of Network Inequality in everyday life,158a,Mario Luis,Small,Small,,,,,,,,,
"Nowak, Martin A., Robert M. May",Virus Dynamics: Mathematical principles of immunology and virology,165,"Martin A., Robert M. May",Nowak,,&,Robert,M.,May,,,,,
"Nonaka,, Ikujiro, Hirotaka Takeuchi",The Knowledge Creating Company,165,"Ikujiro, Hirotaka Takeuchi","Nonaka,",Hirotaka,Takeuchi,,,,,,,,
"Lindsay, Grace","Models of the Mind: How Physics, Engineering and Mathematics have shaped our understanding of the brain",,Grace,Lindsay,,,,,,,,,,
"Crawley, Gerard M.",Grant Writer's Handbook: How to write a research proposal and succeed,,Gerard M.,Crawley,Crawley,,,,,,,,,
"Gladstone-Highland, Mary",Grant Writing: The Complete Workbook for Writing Grant Proposal that Win,,Mary,Gladstone-Highland,,,,,,,,,,
